name,namespace,description,created_at,updated_at,url,homepage,rm,archive,lab_project,personal_project,workshops_and_colearning,methods,meta_lab,is_package,uses_targets
state-dependent_HS,ljnewediuk,,2021-03-22T13:53:54.767Z,2024-01-11T06:38:17.693Z,https://gitlab.com/ljnewediuk/state-dependent_hs.git,https://gitlab.com/ljnewediuk/state-dependent_hs,,,,TRUE,,,,,
targets-tar_group-datatable,robitalec,,2021-03-30T21:51:01.435Z,2024-01-16T03:13:03.302Z,https://gitlab.com/robitalec/targets-tar_group-datatable.git,https://gitlab.com/robitalec/targets-tar_group-datatable,,,,,,TRUE,,,TRUE
site_fidelity,ljnewediuk,,2021-04-03T13:32:57.645Z,2024-01-12T09:21:04.838Z,https://gitlab.com/ljnewediuk/site_fidelity.git,https://gitlab.com/ljnewediuk/site_fidelity,,,,TRUE,,,,,
risk_behaviour_repro,ljnewediuk,,2021-04-16T17:39:09.379Z,2023-12-07T20:39:24.465Z,https://gitlab.com/ljnewediuk/risk_behaviour_repro.git,https://gitlab.com/ljnewediuk/risk_behaviour_repro,,,,TRUE,,,,,
try-dataspice,robitalec,,2021-05-26T16:00:14.088Z,2024-01-19T14:37:44.358Z,https://gitlab.com/robitalec/try-dataspice.git,https://gitlab.com/robitalec/try-dataspice,,,,,,TRUE,,,
plain-html,robitalec,Example plain HTML site using GitLab Pages: https://pages.gitlab.io/plain-html,2021-05-26T19:34:21.058Z,2024-01-20T20:31:14.198Z,https://gitlab.com/robitalec/plain-html.git,https://gitlab.com/robitalec/plain-html,,,,,,TRUE,,,
metadata,weel,https://weel.gitlab.io/metadata,2021-05-26T19:41:30.012Z,2024-01-11T21:15:07.039Z,https://gitlab.com/weel/metadata.git,https://gitlab.com/weel/metadata,,,,,,TRUE,TRUE,,
thesis-template,WEEL_grp,bookdown thesis template (an attempt) following MUN's thesis specifications,2021-06-10T18:19:24.042Z,2023-12-09T20:40:39.414Z,https://gitlab.com/WEEL_grp/thesis-template.git,https://gitlab.com/WEEL_grp/thesis-template,,,,,,TRUE,,,
customRmd,robitalec,,2021-06-12T00:53:59.017Z,2023-12-09T20:43:37.268Z,https://gitlab.com/robitalec/customRmd.git,https://gitlab.com/robitalec/customRmd,,,,,,TRUE,,,
targets-issa,robitalec,:hammer_and_wrench:   A targets workflow for integrated step selection analyses (iSSA),2021-06-15T19:49:52.983Z,2024-01-19T15:08:49.661Z,https://gitlab.com/robitalec/targets-amt-issa.git,https://gitlab.com/robitalec/targets-amt-issa,,,,,,TRUE,,,TRUE
distance-to,robitalec,:package: distanceto is an R package to calculate distances from point locations to features,2021-06-25T21:51:28Z,2024-10-16T18:15:28Z,https://github.com/robitalec/distance-to,https://robitalec.github.io/distance-to/,,,,,,TRUE,,TRUE,
socprod-model,robitalec,,2021-08-02T23:03:37.497Z,2024-01-11T08:06:11.615Z,https://gitlab.com/robitalec/socprod-model.git,https://gitlab.com/robitalec/socprod-model,,,,TRUE,,,,,TRUE
socprod-viz,robitalec,,2021-08-02T23:03:53.921Z,2024-01-20T08:14:46.115Z,https://gitlab.com/robitalec/socprod-viz.git,https://gitlab.com/robitalec/socprod-viz,,,,TRUE,,,,,TRUE
statistical-rethinking,robitalec,"Learning bayesian data analysis with Statistical Rethinking

https://www.statistical-rethinking.robitalec.ca/",2021-08-18T22:26:34.778Z,2024-01-20T23:25:47.746Z,https://gitlab.com/robitalec/statistical-rethinking.git,https://gitlab.com/robitalec/statistical-rethinking,,,,,TRUE,,,,
prepare-locs,robitalec,:hammer_and_wrench:   A targets workflow for processing animal relocation data for the WEEL.,2021-09-01T15:50:47Z,2022-08-02T11:27:18Z,https://github.com/robitalec/prepare-locs,,,,,,,TRUE,TRUE,,TRUE
guide,wildlifeevoeco,:book: Guide for students and friends of the Wildlife Evolutionary Ecology Lab,2021-09-29T00:12:55Z,2021-11-16T01:32:22Z,https://github.com/wildlifeevoeco/guide,https://weel.gitlab.io/guide/,,,,,,TRUE,TRUE,,
SnailPace,wildlifeevoeco,:notebook: At a snail’s pace: the influence of habitat disturbance on terrestrial snail movement using experimentally manipulated mesocosms,2021-10-22T15:50:57Z,2021-10-22T17:58:55Z,https://github.com/wildlifeevoeco/SnailPace,https://zenodo.org/badge/latestdoi/420157151,,,TRUE,,,,,,
model-helpers,robitalec,,2021-10-27T16:58:17.245Z,2023-11-20T09:24:19.769Z,https://gitlab.com/robitalec/model-helpers.git,https://gitlab.com/robitalec/model-helpers,,,,,,TRUE,,,
GLMM-iSSA,katrienkingdon,,2021-10-27T16:58:59.214Z,2024-11-21T17:42:53.700Z,https://gitlab.com/katrienkingdon/glmm-issa.git,https://gitlab.com/katrienkingdon/glmm-issa,,,,TRUE,,,,,
SnowshoeHare_StressBehaviour,mpeers,"Analysis of hare cortisol, behaviour, and fitness",2021-10-27T17:13:20.999Z,2024-01-19T18:02:53.884Z,https://gitlab.com/mpeers/snowshoehare_stressbehaviour.git,https://gitlab.com/mpeers/snowshoehare_stressbehaviour,,,,TRUE,,,,,
2021-10-27-git-intro-penguins,WEEL_grp,"Penguins accompanying Introduction to Git workshop

https://slides.robitalec.ca/git-intro-slides",2021-10-27T17:32:17.422Z,2024-01-21T05:12:33.211Z,https://gitlab.com/WEEL_grp/2021-10-27-git-intro-penguins.git,https://gitlab.com/WEEL_grp/2021-10-27-git-intro-penguins,,,,,TRUE,,,,
open-animal-movement-data,robitalec,,2021-11-10T01:08:40.298Z,2023-12-08T21:11:15.201Z,https://gitlab.com/robitalec/open-animal-movement-data.git,https://gitlab.com/robitalec/open-animal-movement-data,,,,TRUE,,,,,TRUE
lit-base,robitalec,,2021-11-12T22:14:03.187Z,2024-10-28T16:07:40.437Z,https://gitlab.com/robitalec/lit-base.git,https://gitlab.com/robitalec/lit-base,,,,TRUE,,,,,
Example lit base,WEEL_grp,,2021-12-08T17:27:32.380Z,2023-12-08T21:14:34.994Z,https://gitlab.com/WEEL_grp/example-lit-base.git,https://gitlab.com/WEEL_grp/example-lit-base,,,,,TRUE,,,,
statistical-rethinking-colearning-2022,robitalec,Statistical Rethinking colearning 2022,2022-01-19T01:15:30.944Z,2023-11-20T22:25:35.595Z,https://gitlab.com/robitalec/statistical-rethinking-colearning-2022.git,https://gitlab.com/robitalec/statistical-rethinking-colearning-2022,,,,,TRUE,,,,
try-julia,robitalec,,2022-02-05T01:13:43.909Z,2023-11-24T01:06:31.108Z,https://gitlab.com/robitalec/try-julia.git,https://gitlab.com/robitalec/try-julia,,,,,,TRUE,,,
try-pymc,robitalec,,2022-02-07T03:13:17.866Z,2023-11-21T00:19:12.389Z,https://gitlab.com/robitalec/try-pymc.git,https://gitlab.com/robitalec/try-pymc,,,,,,TRUE,TRUE,,
CaribouDietReview,wildlifeevoeco,:notebook:  What do caribou eat? A review of the literature on caribou diet,2022-02-10T22:34:05Z,2022-02-10T22:39:44Z,https://github.com/wildlifeevoeco/CaribouDietReview,https://cdnsciencepub.com/doi/10.1139/cjz-2021-0162,,,TRUE,,,,,,
fogo-networks,WEEL_grp,,2022-02-15T17:36:38.987Z,2023-12-08T22:52:42.710Z,https://gitlab.com/WEEL_grp/fogo-networks.git,https://gitlab.com/WEEL_grp/fogo-networks,,,TRUE,,,,,,
rangifer-lit-revisited,WEEL_grp,,2022-03-23T15:59:13.717Z,2024-12-02T00:39:33.112Z,https://gitlab.com/WEEL_grp/rangifer-lit-revisited.git,https://gitlab.com/WEEL_grp/rangifer-lit-revisited,,,TRUE,,,,,,
elk-social-issa,WEEL_grp,,2022-03-24T17:14:55.867Z,2023-11-24T22:38:17.867Z,https://gitlab.com/WEEL_grp/elk-social-issa.git,https://gitlab.com/WEEL_grp/elk-social-issa,,,TRUE,,,,,,
bet-hedge-hares,WEEL_grp,,2022-04-20T13:28:29.416Z,2024-11-27T19:36:34.421Z,https://gitlab.com/WEEL_grp/bet-hedge-hares.git,https://gitlab.com/WEEL_grp/bet-hedge-hares,,,TRUE,,,,,,
comprehensive-exam,robitalec,Comprehensive exam: social foraging and habitat selection,2022-07-28T17:45:55Z,2023-04-18T14:15:52Z,https://github.com/robitalec/comprehensive-exam,https://robitalec.gitlab.io/comprehensive-exam/,,,,TRUE,,,,,
WildPigSpatiotemporalCompetition,wildlifeevoeco,:notebook: Variation in spatiotemporal activity may reduce competitive interactions between invasive wild pigs (Sus scrofa) and native mammal species,2022-09-22T16:49:42Z,2023-11-06T13:59:43Z,https://github.com/wildlifeevoeco/WildPigSpatiotemporalCompetition,https://doi.org/10.1139.CJZ-2022-0145,,,TRUE,,,,,,
try-pointblank,robitalec,,2022-12-22T13:38:31.715Z,2023-11-12T04:08:16.844Z,https://gitlab.com/robitalec/try-pointblank.git,https://gitlab.com/robitalec/try-pointblank,,,,,,TRUE,TRUE,,
Plasticity-repeatability-migration-parturition,wildlifeevoeco,Code and data for Laforge et al 2023 (Journal of Animal Ecology) - Plasticity and repeatability in spring migration and parturition dates with implications for annual reproductive success,2023-02-27T23:09:11Z,2023-02-27T23:15:00Z,https://github.com/wildlifeevoeco/Plasticity-repeatability-migration-parturition,,,,TRUE,,,,,,
TNNP RSF,WEEL_grp,,2023-05-01T12:20:26.688Z,2023-10-23T21:39:45.735Z,https://gitlab.com/WEEL_grp/TNNP-RSF.git,https://gitlab.com/WEEL_grp/TNNP-RSF,,,TRUE,,,,,,
statistical-rethinking-colearning-2023,robitalec,,2023-05-08T13:26:16.595Z,2023-11-01T16:27:51.295Z,https://gitlab.com/robitalec/statistical-rethinking-colearning-2023.git,https://gitlab.com/robitalec/statistical-rethinking-colearning-2023,,,,,TRUE,,TRUE,,TRUE
spatsoc-paper-2,robitalec,,2023-05-08T13:31:50.270Z,2024-11-25T19:01:17.058Z,https://gitlab.com/robitalec/spatsoc-paper-2.git,https://gitlab.com/robitalec/spatsoc-paper-2,,,,TRUE,,,,,TRUE
2023-CSEE-reproducible-workflows-workshop,robitalec,":memo: Developing a reproducible workflow in R using functions, {targets} and {renv}",2023-05-12T16:58:36Z,2024-04-19T13:55:10Z,https://github.com/robitalec/2023-CSEE-reproducible-workflows-workshop,https://robitalec.github.io/2023-CSEE-reproducible-workflows-workshop/,,,,,TRUE,,,,
